share_number,comment_number,like_number,play_times,create_time,program_url,subscription_number,issue
(1),(6),(9),1447,2016-05-13 创建,http://music.163.com/program?id=787089738,订阅(5707), 第148期
(1),(5),(16),1489,2016-05-20 创建,http://music.163.com/program?id=787450198,订阅(5707), 第149期
(2),(4),(10),1287,2016-05-27 创建,http://music.163.com/program?id=787752899,订阅(5707), 第150期
(2),(4),(9),1262,2016-06-03 创建,http://music.163.com/program?id=788347811,订阅(5707), 第151期
(2),(2),(15),1456,2016-06-10 创建,http://music.163.com/program?id=788568158,订阅(5707), 第152期
(1),(4),(11),1590,2016-06-17 创建,http://music.163.com/program?id=788836013,订阅(5707), 第153期
(2),(3),(20),1837,2016-06-24 创建,http://music.163.com/program?id=789205412,订阅(5707), 第154期
分享,(6),(12),1694,2016-07-01 创建,http://music.163.com/program?id=789749855,订阅(5707), 第155期
(1),(5),(12),1317,2016-07-15 创建,http://music.163.com/program?id=790641924,订阅(5707), 第156期
(1),(3),(7),1151,2016-07-22 创建,http://music.163.com/program?id=791264795,订阅(5707), 第157期
(3),(8),(15),2098,2016-07-29 创建,http://music.163.com/program?id=791368278,订阅(5707), 第158期
(1),(6),(17),1367,2016-08-05 创建,http://music.163.com/program?id=792004949,订阅(5707), 第159期
(4),(7),(15),1766,2016-08-12 创建,http://music.163.com/program?id=792589585,订阅(5707), 第160期
(1),(9),(9),1529,2016-08-19 创建,http://music.163.com/program?id=792827665,订阅(5707), 第161期
(1),(8),(11),1564,2016-08-26 创建,http://music.163.com/program?id=792938446,订阅(5707), 第162期
(4),(10),(13),1829,2016-09-02 创建,http://music.163.com/program?id=793302781,订阅(5707), 第163期
(2),(3),(4),1399,2015-07-31 创建,http://music.163.com/program?id=10971028,订阅(5707), 第109期
(1),(8),(7),1275,2015-08-07 创建,http://music.163.com/program?id=11198089,订阅(5707), 第110期
(1),(1),(8),977,2015-08-14 创建,http://music.163.com/program?id=11408156,订阅(5707), 第111期
(1),(4),(6),1187,2015-08-21 创建,http://music.163.com/program?id=11557062,订阅(5707), 第112期
(1),(4),(6),1086,2015-08-28 创建,http://music.163.com/program?id=11804029,订阅(5707), 第113期
(1),(3),(7),1099,2015-09-04 创建,http://music.163.com/program?id=12003055,订阅(5707), 第114期
(1),(3),(8),918,2015-09-11 创建,http://music.163.com/program?id=12225023,订阅(5707), 第115期
(2),(5),(7),1317,2015-09-18 创建,http://music.163.com/program?id=12508026,订阅(5707), 第116期
(1),(4),(7),1010,2015-09-25 创建,http://music.163.com/program?id=12689022,订阅(5707), 第117期
(2),(2),(7),1174,2015-10-02 创建,http://music.163.com/program?id=12904108,订阅(5707), 第118期
(2),(5),(15),1582,2015-10-09 创建,http://music.163.com/program?id=12935367,订阅(5707), 第119期
(2),(5),(12),1381,2015-07-24 创建,http://music.163.com/program?id=10739061,订阅(5707), 第108期
分享,(1),(12),527,2014-08-29 创建,http://music.163.com/program?id=769017,订阅(5707), 第62期
分享,(1),(20),1577,2014-09-05 创建,http://music.163.com/program?id=774016,订阅(5707), 第63期
(1),(1),(11),637,2014-09-12 创建,http://music.163.com/program?id=776066,订阅(5707), 第64期
分享,(1),(12),582,2014-09-19 创建,http://music.163.com/program?id=7813017,订阅(5707), 第65期
分享,(1),(19),779,2014-09-26 创建,http://music.163.com/program?id=7851015,订阅(5707), 第66期
分享,(2),(19),1057,2014-10-10 创建,http://music.163.com/program?id=7876011,订阅(5707), 第67期
(4),(8),(48),4270,2014-10-10 创建,http://music.163.com/program?id=7958010,订阅(5707), 第68期
(4),(4),(21),3950,2014-10-17 创建,http://music.163.com/program?id=7988014,订阅(5707), 第69期
(5),(8),(12),2375,2014-10-24 创建,http://music.163.com/program?id=8011013,订阅(5707), 第70期
(1),(3),(10),889,2014-10-31 创建,http://music.163.com/program?id=8064011,订阅(5707), 第71期
分享,(2),(9),2317,2014-11-07 创建,http://music.163.com/program?id=8104011,订阅(5707), 第72期
分享,(2),(6),2224,2014-11-14 创建,http://music.163.com/program?id=8154015,订阅(5707), 第73期
(4),(3),(17),1955,2014-11-21 创建,http://music.163.com/program?id=8294010,订阅(5707), 第74期
(2),(1),(6),870,2014-11-28 创建,http://music.163.com/program?id=8375031,订阅(5707), 第75期
(2),(5),(7),897,2014-12-05 创建,http://music.163.com/program?id=8437099,订阅(5707), 第76期
(3),(2),(9),851,2014-12-12 创建,http://music.163.com/program?id=8458030,订阅(5707), 第77期
(2),(4),(8),1023,2014-12-19 创建,http://music.163.com/program?id=8484114,订阅(5707), 第78期
(4),(5),(15),2396,2014-12-26 创建,http://music.163.com/program?id=8531040,订阅(5707), 第79期
(2),(3),(17),1309,2015-01-02 创建,http://music.163.com/program?id=8646097,订阅(5707), 第80期
(3),(3),(9),1128,2015-01-09 创建,http://music.163.com/program?id=8697040,订阅(5707), 第81期
(5),(6),(17),1153,2015-01-16 创建,http://music.163.com/program?id=8733376,订阅(5707), 第82期
(1),(1),(13),876,2015-01-23 创建,http://music.163.com/program?id=8798040,订阅(5707), 第83期
(1),(2),(15),1229,2015-01-30 创建,http://music.163.com/program?id=8845080,订阅(5707), 第84期
分享,(1),(6),842,2015-02-06 创建,http://music.163.com/program?id=8927051,订阅(5707), 第85期
(1),(4),(6),952,2015-02-13 创建,http://music.163.com/program?id=8990051,订阅(5707), 第86期
(1),(6),(6),1000,2015-02-20 创建,http://music.163.com/program?id=9035394,订阅(5707), 第87期
(2),(2),(10),1044,2015-02-27 创建,http://music.163.com/program?id=9036518,订阅(5707), 第88期
(2),(6),(12),1275,2015-03-06 创建,http://music.163.com/program?id=9081011,订阅(5707), 第89期
分享,(1),(11),1040,2015-03-13 创建,http://music.163.com/program?id=9148078,订阅(5707), 第90期
(1),(3),(12),1464,2015-03-20 创建,http://music.163.com/program?id=9178131,订阅(5707), 第91期
(3),(2),(10),1292,2015-04-03 创建,http://music.163.com/program?id=9298058,订阅(5707), 第92期
(2),(3),(9),1175,2015-04-10 创建,http://music.163.com/program?id=9331039,订阅(5707), 第93期
(2),(5),(7),1149,2015-04-17 创建,http://music.163.com/program?id=9420023,订阅(5707), 第94期
(2),(2),(8),1082,2015-04-24 创建,http://music.163.com/program?id=9494022,订阅(5707), 第95期
(1),(12),(12),1271,2015-05-01 创建,http://music.163.com/program?id=9574070,订阅(5707), 第96期
(1),(1),(9),1052,2015-05-08 创建,http://music.163.com/program?id=9625165,订阅(5707), 第97期
(3),(6),(5),1220,2015-05-15 创建,http://music.163.com/program?id=9696053,订阅(5707), 第98期
(3),(4),(10),1469,2015-05-22 创建,http://music.163.com/program?id=9727590,订阅(5707), 第99期
(3),(4),(10),1363,2015-05-29 创建,http://music.163.com/program?id=9843069,订阅(5707), 第100期
(2),(1),(9),1292,2015-06-05 创建,http://music.163.com/program?id=10010088,订阅(5707), 第101期
(4),(1),(2),1087,2015-06-12 创建,http://music.163.com/program?id=10103089,订阅(5707), 第102期
(2),(6),(9),1422,2015-06-19 创建,http://music.163.com/program?id=10178057,订阅(5707), 第103期
(1),(6),(2),1283,2015-06-26 创建,http://music.163.com/program?id=10271082,订阅(5707), 第104期
(2),(2),(6),1279,2015-07-03 创建,http://music.163.com/program?id=10336124,订阅(5707), 第105期
(1),(3),(8),1640,2015-07-10 创建,http://music.163.com/program?id=10448107,订阅(5707), 第106期
分享,(1),(6),1250,2015-07-17 创建,http://music.163.com/program?id=10482211,订阅(5707), 第107期
(3),(2),(7),699,2014-01-24 创建,http://music.163.com/program?id=644020,订阅(5707), 第33期
(1),评论,(6),299,2014-01-31 创建,http://music.163.com/program?id=645028,订阅(5707), 第34期
(1),评论,(2),558,2014-02-06 创建,http://music.163.com/program?id=646064,订阅(5707), 第35期
分享,(1),(9),656,2014-02-14 创建,http://music.163.com/program?id=647022,订阅(5707), 第36期
分享,评论,(8),427,2014-02-21 创建,http://music.163.com/program?id=649025,订阅(5707), 第37期
(2),(2),(11),397,2014-02-28 创建,http://music.163.com/program?id=652023,订阅(5707), 第38期
(5),(2),(25),1981,2014-03-07 创建,http://music.163.com/program?id=654020,订阅(5707), 第39期
(1),(2),(7),679,2014-03-14 创建,http://music.163.com/program?id=657009,订阅(5707), 第40期
分享,评论,(5),271,2014-04-04 创建,http://music.163.com/program?id=665005,订阅(5707), 第41期
分享,评论,(6),311,2014-04-11 创建,http://music.163.com/program?id=663135,订阅(5707), 第42期
分享,(1),(6),305,2014-04-18 创建,http://music.163.com/program?id=672025,订阅(5707), 第43期
分享,评论,(5),359,2014-04-25 创建,http://music.163.com/program?id=673124,订阅(5707), 第44期
分享,评论,(11),389,2014-05-02 创建,http://music.163.com/program?id=677015,订阅(5707), 第45期
(2),评论,(6),397,2014-05-09 创建,http://music.163.com/program?id=682014,订阅(5707), 第46期
(4),(1),(5),515,2014-05-16 创建,http://music.163.com/program?id=686017,订阅(5707), 第47期
(1),(1),(7),431,2014-05-23 创建,http://music.163.com/program?id=693011,订阅(5707), 第48期
分享,评论,(2),359,2014-06-03 创建,http://music.163.com/program?id=700001,订阅(5707), 第49期
分享,(2),(5),338,2014-06-06 创建,http://music.163.com/program?id=703035,订阅(5707), 第50期
(2),评论,(25),1535,2014-06-13 创建,http://music.163.com/program?id=710011,订阅(5707), 第51期
分享,(1),(21),1107,2014-06-20 创建,http://music.163.com/program?id=718027,订阅(5707), 第52期
(1),评论,(8),569,2014-06-27 创建,http://music.163.com/program?id=724001,订阅(5707), 第53期
(1),评论,(5),431,2014-07-04 创建,http://music.163.com/program?id=728052,订阅(5707), 第54期
分享,评论,(10),347,2014-07-11 创建,http://music.163.com/program?id=731063,订阅(5707), 第55期
分享,评论,(8),372,2014-07-18 创建,http://music.163.com/program?id=737018,订阅(5707), 第56期
(1),(1),(4),309,2014-07-25 创建,http://music.163.com/program?id=746002,订阅(5707), 第57期
分享,评论,(1),322,2014-08-01 创建,http://music.163.com/program?id=748018,订阅(5707), 第58期
分享,评论,(7),439,2014-08-08 创建,http://music.163.com/program?id=752025,订阅(5707), 第59期
分享,(1),(7),329,2014-08-15 创建,http://music.163.com/program?id=758011,订阅(5707), 第60期
分享,评论,(7),460,2014-08-22 创建,http://music.163.com/program?id=764010,订阅(5707), 第61期
分享,评论,(13),549,2013-08-09 创建,http://music.163.com/program?id=436001,订阅(5707), 第9期
(1),(1),(10),432,2013-08-16 创建,http://music.163.com/program?id=444016,订阅(5707), 第10期
分享,评论,(12),411,2013-08-30 创建,http://music.163.com/program?id=482007,订阅(5707), 第11期
分享,(1),(21),639,2013-08-30 创建,http://music.163.com/program?id=483006,订阅(5707), 第12期
(1),(1),(16),592,2013-09-06 创建,http://music.163.com/program?id=494004,订阅(5707), 第13期
(2),(1),(17),1021,2013-09-13 创建,http://music.163.com/program?id=518007,订阅(5707), 第14期
分享,评论,(30),2070,2013-09-20 创建,http://music.163.com/program?id=540007,订阅(5707), 第15期
(3),(1),(20),930,2013-09-27 创建,http://music.163.com/program?id=569002,订阅(5707), 第16期
(2),(2),(23),971,2013-10-04 创建,http://music.163.com/program?id=585002,订阅(5707), 第17期
分享,评论,(19),1153,2013-10-11 创建,http://music.163.com/program?id=588006,订阅(5707), 第18期
(1),(3),(26),1664,2013-10-18 创建,http://music.163.com/program?id=602020,订阅(5707), 第19期
分享,评论,(10),390,2013-10-25 创建,http://music.163.com/program?id=602125,订阅(5707), 第20期
(2),(3),(10),575,2013-11-01 创建,http://music.163.com/program?id=615028,订阅(5707), 第21期
分享,评论,(11),1014,2013-11-08 创建,http://music.163.com/program?id=624009,订阅(5707), 第22期
(2),(1),(14),817,2013-11-15 创建,http://music.163.com/program?id=627008,订阅(5707), 第23期
(2),评论,(9),576,2013-11-22 创建,http://music.163.com/program?id=629078,订阅(5707), 第24期
(2),(2),(9),634,2013-12-02 创建,http://music.163.com/program?id=632087,订阅(5707), 第25期
(1),(1),(19),887,2013-12-06 创建,http://music.163.com/program?id=632252,订阅(5707), 第26期
分享,评论,(14),744,2013-12-13 创建,http://music.163.com/program?id=635014,订阅(5707), 第27期
(1),评论,(10),1095,2013-12-20 创建,http://music.163.com/program?id=635162,订阅(5707), 第28期
(3),(2),(15),640,2013-12-27 创建,http://music.163.com/program?id=637070,订阅(5707), 第29期
分享,(1),(7),388,2014-01-06 创建,http://music.163.com/program?id=638116,订阅(5707), 第30期
(1),(3),(7),490,2014-01-10 创建,http://music.163.com/program?id=639050,订阅(5707), 第31期
分享,评论,(2),1183,2014-01-17 创建,http://music.163.com/program?id=643002,订阅(5707), 第32期
(10),(26),(78),10111,2013-06-18 创建,http://music.163.com/program?id=305001,订阅(5707), 第1期
(8),(7),(16),3392,2013-06-21 创建,http://music.163.com/program?id=316005,订阅(5707), 第2期
(9),(5),(10),2546,2013-06-28 创建,http://music.163.com/program?id=324007,订阅(5707), 第3期
(2),(2),(14),1191,2013-07-05 创建,http://music.163.com/program?id=349002,订阅(5707), 第4期
(6),评论,(10),1441,2013-07-12 创建,http://music.163.com/program?id=362008,订阅(5707), 第5期
(2),(2),(15),1083,2013-07-19 创建,http://music.163.com/program?id=383002,订阅(5707), 第6期
(3),(2),(9),688,2013-07-26 创建,http://music.163.com/program?id=399011,订阅(5707), 第7期
(1),(1),(23),1005,2013-08-02 创建,http://music.163.com/program?id=418001,订阅(5707), 第8期
